battery_id,id_charge,id_discharge,battery_formula,framework_formula,formula_discharge,formula_charge,working_ion,V_avg,capacity_grav,capacity_vol,energy_grav,energy_vol,max_delta_volume,stability_charge,stability_discharge
mp-29719_Li,mp-29719,mp-1210761,Li1-2NiN,NiN,Li2NiN,LiNiN,Li,1.2159558495,309.5499086458274,1054.2676832112877,376.39902213008463,1281.942956339579,0.085022873800403,0.173219183777777,0.017221922499996
mp-35925_Li,mp-35925,mp-754756,Li0-2NiO2,NiO2,Li2NiO2,NiO2,Li,2.5989071366666643,512.583049076424,1700.3322962672999,1332.1557443790775,4419.005739473903,0.10214137040807,0.126580159444444,0.080981325000002
mp-4226_Li,mp-755263,mp-4226,Li0-1CrS2,CrS2,LiCrS2,CrS2,Li,2.987773516666666,217.77941582570722,704.8252817624127,650.6755710791855,2105.858310726858,0.188037912769802,0.12411229119791702,0.0
mp-3924_Li,mp-25214,mp-3924,Li0-1NbO2,NbO2,LiNbO2,NbO2,Li,19.066347486666665,203.27840476958747,1151.9973789181963,3875.776701872233,21964.382330183536,0.027531663160277,0.283371129166665,0.0
mp-35899_Li,mp-715550,mp-35899,Li0-1MoO2,MoO2,LiMoO2,MoO2,Li,1.207040936666667,198.7064122675441,1045.5731042380999,239.8467739850894,1262.0495390930312,0.16177403309341,0.0014738083333330002,0.05817071718749701
mp-3838_Li,mp-3838,mp-1246483,Li5-6ReN4,ReN4,Li6ReN4,Li5ReN4,Li,-0.10066826166664501,94.41137109919019,401.6922678145651,-9.504228610120087,-40.43766232582504,0.03222430928361,0.0,0.009151660151514
mp-37399_Li,mp-37399,mp-774697,Li7-8NbO6,NbO6,Li8NbO6,Li7NbO6,Li,-0.311167413333341,109.64855222146691,327.0639278902483,-34.11905637049967,-101.77163643625109,0.013636989921914,0.035748407232142,0.06369841470833701
mp-33461_Li,mp-758809,mp-1174554,Li2.5-5Mn3O8,Mn3O8,Li5Mn3O8,Li5Mn6O16,Li,3.143667516666668,204.5825043456792,779.7612297353637,643.1393733898292,2451.3100486751177,0.028049025621309998,0.083770461555549,0.038401015937489
mp-390_Li,mp-390,mp-38280,Li0-1TiO2,TiO2,LiTiO2,TiO2,Li,1.612399301666665,308.7486365741381,1292.1926565605454,497.82608600267537,2083.5305370570163,0.001436387082192,0.0,0.0
mp-530670_Li,mp-1018112,mp-1206280,Li0-3YSb2,YSb2,Li3YSb2,YSb2,Li,1.532928493333334,227.61416898056896,1044.591459892184,348.91624511670256,1601.284012761394,0.48201697850114505,0.49559157666666903,0.0
mp-510751_Li,mp-510751,mp-553966,Li0-0.5CuO,CuO,Li(CuO)2,CuO,Li,18.167999915416665,161.4237823438877,893.809846319949,2932.74726396999,16238.737212339416,0.04950505077501,0.179534246562499,0.000224722
mp-4711_Li,mp-752615,mp-4711,Li1.33-2CuO2,CuO2,Li2CuO2,Li4(CuO2)3,Li,16.222812761666667,163.28407754690133,615.7796395632093,2648.9270170048408,9989.677795080534,0.008657483939123,0.027734560000002004,0.0
mp-4995_Li,mp-1105545,mp-4995,Li0-1SbO3,SbO3,LiSbO3,SbO3,Li,28.961399619166666,151.6785652983369,826.0766405426011,4392.823543267001,23924.33570281297,0.080177668697058,0.22257571249999902,0.0
mp-504103_Li,mp-504110,mp-504103,Li0-0.5WO2,WO2,Li(WO2)2,WO2,Li,2.87877741166667,61.10429686603325,487.368218969293,175.90566957371104,1403.0246199330165,0.033989757797912,0.48771044416666604,0.24185686785714203
mp-5127_Li,mp-25229,mp-5127,Li0-1CuO,CuO,LiCuO,CuO,Li,11.071219306666665,309.8924356357057,1329.2744302627254,3430.8871163999816,14716.688736183018,0.057193013156374005,0.5894081550000001,0.0
mp-530725_Li,mp-766493,mp-530725,Li0-9Mn21O40,Mn21O40,Li9Mn21O40,Mn21O40,Li,2.750972458888886,129.95400004296272,581.4715605345001,357.4998750406356,1599.6122486575516,0.041572561299696005,0.06723339138661301,0.09425535057142201
mp-554485_Li,mp-1173004,mp-554485,Li0-4Mo3O8,Mo3O8,Li4Mo3O8,Mo3O8,Li,2.514833805416667,241.68384040878283,1116.5259592288633,607.7946920829338,2807.8772268940165,0.023754221230093003,0.253951274285714,0.084105343666664
mp-556560_Li,mp-556560,mp-752938,Li0-1MnF3,MnF3,LiMnF3,MnF3,Li,3.522112016666669,225.46077143068698,716.0055000691009,794.0980923429601,2521.8515757928085,0.09041605038219501,0.0,0.034239468499997004
mp-5670_Li,mp-25262,mp-5670,Li0-0.5TiO2,TiO2,LiTi2O4,TiO2,Li,15.984647086666671,160.8031622796062,601.5887773942118,2570.381799459495,9616.184297945752,0.015253394689990001,0.185231633333332,0.0
mp-552024_Li,mp-1278455,mp-1302545,Li0-0.75CoO2,CoO2,Li3(CoO2)4,CoO2,Li,3.17453879333333,209.08656489730356,955.5340939838392,663.7534114312971,3033.380049704314,0.051650370158744005,0.012461142500001,0.055600112250004004
mp-570170_Li,mp-570170,mp-1223482,Li0-3Mo15Se19,Mo15Se19,Li3Mo15Se19,Mo15Se19,Li,1.985510309523637,27.16216756850609,166.04639055921768,53.93076373627744,329.68682031451516,0.008797123648139001,0.063813381470588,0.04391281081080901
mp-612405_Li,mp-1181340,mp-1101736,Li0-1Fe3O4,Fe3O4,LiFe3O4,Fe3O4,Li,2.265710506666659,112.38762339044611,564.0139300843904,254.6378191350294,1277.8922872985581,0.005659183183774,0.121592188571428,0.0393725334375
mp-570512_Li,mp-571518,mp-570512,Li0-1WCl6,WCl6,LiWCl6,WCl6,Li,3.097758859166669,66.42267055274955,224.76243226185252,205.76141615428898,696.2598157470021,0.037040232335308,0.0,0.003693124218749
mp-568488_Li,mp-568488,mp-1197196,Li0-2Mo15Se19,Mo15Se19,Li2Mo15Se19,Mo15Se19,Li,1.626713232023699,18.150671466868317,111.02235895094675,29.525937445269694,180.60154035598984,0.0024924643213200003,0.065439831029411,0.07164706749999801
mp-685270_Li,mp-850026,mp-705640,Li0-2Co21O40,Co21O40,Li20Co21O40,Co21O40,Li,3.153901182166667,265.83587507637134,1310.5960051676013,838.420080665678,4133.49029004101,0.05306314260265801,0.048658195807965,0.036958622716049
mp-675212_Li,mp-675212,mp-756203,Li0.38-0.5WO3,WO3,Li(WO3)2,Li3(WO3)8,Li,1.643810006666692,14.237404495330969,102.02146006503801,23.4035879783864,167.70389694965587,0.0034959057173880002,0.026581958964287004,0.037045230972225
mp-705847_Li,mp-754720,mp-705847,Li0-0.67CoO2,CoO2,Li2(CoO2)3,CoO2,Li,3.822948869166661,186.9796953216613,873.6439863983127,714.8138147870719,3339.8962898556833,0.057049369875075,0.140327678333334,0.04887074215909001
mp-694_Li,mp-694,mp-1206637,Li0-1VSe2,VSe2,LiVSe2,VSe2,Li,1.845320555416672,124.19448868925936,636.960823433402,229.1786428477537,1175.3969004767862,0.082324892350567,0.0,0.041279570312498
mp-673697_Li,mp-766948,mp-673697,Li0.1-0.45MnO2,MnO2,Li9Mn20O40,LiMn10O20,Li,2.693110010952379,104.15820202318193,455.84373855208344,280.50949659143157,1227.6373357245748,0.039347204567716,0.049563402395161,0.08561793879106201
mp-752471_Li,mp-752471,mp-756356,Li7-8FeO6,FeO6,Li8FeO6,Li7FeO6,Li,2.7272767566666642,129.2451111174739,346.1768071587739,352.4871874634868,944.119959861202,0.033357827352487004,0.054300379285711006,0.029306551666666004
mp-715276_Li,mp-715276,mp-1236363,Li0-0.25Fe2O3,Fe2O3,Li(Fe2O3)4,Fe2O3,Li,0.127296846666647,41.50803545792741,206.29795827156016,5.283842025121564,26.26107956173729,0.05564962608500001,0.133946274999999,0.20386543369047902
mp-752521_Li,mp-760833,mp-774155,Li1-2FeO3,FeO3,Li2FeO3,LiFeO3,Li,3.622028068333338,227.66137704895715,826.1396845852344,824.595897746742,2992.3011259317695,0.02008006187993,0.131203345433336,0.0
mp-752476_Li,mp-762529,mp-756497,Li0.4-1FeO2,FeO2,LiFeO2,Li2(FeO2)5,Li,3.592502256666664,169.65682986320948,702.9993958747743,609.4925441424923,2525.5269161154283,0.021405413077958003,0.134625908794117,0.027375911374999003
mp-752499_Li,mp-767699,mp-752499,Li1-2VF4,VF4,Li2VF4,LiVF4,Li,1.9117592341666692,190.32829613137682,563.5313388549613,363.8618776523679,1077.3362407982784,0.061563474501863,0.062844007083334,0.033212409999999006
mp-752512_Li,mp-752512,mp-780217,Li6-7CuO4,CuO4,Li7CuO4,Li6CuO4,Li,1.11137288166667,152.1682271301176,420.77853059411086,169.11564108370717,467.64184808984413,0.047505486154691,0.055213587386364005,0.093128560208334
mp-752527_Li,mp-752527,mp-752883,Li0.33-0.67FeO2,FeO2,Li2(FeO2)3,Li(FeO2)3,Li,11.818296001666662,96.61206396433586,401.15910786655024,1141.7899692624742,4741.017080531416,0.019780017545918002,0.949437339050002,0.06256414286364001
mp-752821_Li,mp-2214725,mp-776654,Li0-7V5O12,V5O12,Li7V5O12,V5O12,Li,2.535980300952382,378.7909926572865,1427.9572520104152,960.606495557077,3621.2714617005095,0.060447731935809004,0.095351339411767,0.03472393791666
mp-752790_Li,mp-752790,mp-849695,Li1-2FeO3,FeO3,Li2FeO3,LiFeO3,Li,3.480760436666659,227.66137704895715,868.9874069059229,792.434714189061,3024.7369859196874,0.061864512651689005,0.1723008051,0.057792488333333
mp-752616_Li,mp-752616,mp-763793,Li0-2Mn3F8,Mn3F8,Li2Mn3F8,Mn3F8,Li,3.748181479166663,162.0975491281728,530.4337771307994,607.5710314605257,1988.16205936608,0.001232163625005,0.078292780227271,0.05780587250000101
mp-752807_Li,mp-1278937,mp-853240,Li0-1CoO2,CoO2,LiCoO2,CoO2,Li,3.311944066666663,273.8393889485439,1284.472506148059,906.9407394477547,4254.101095533524,0.09142646310647001,0.057328405000000006,0.036899676250000006
mp-752557_Li,mp-752557,mp-757600,Li2-3MnF6,MnF6,Li3MnF6,Li2MnF6,Li,3.336792546666667,141.24518753180664,415.1127321537969,471.30588900866803,1385.145070677226,0.148320089025914,0.028582178518519002,0.09302298400000601
mp-752536_Li,mp-752536,mp-754811,Li0-3Mn5O8,Mn5O8,Li3Mn5O8,Mn5O8,Li,2.346733606666665,189.85323240285405,834.9183727003909,445.5349608140743,1959.3310040394515,0.0014419095269620002,0.08359430060897301,0.0659444296875
mp-752603_Li,mp-763200,mp-774192,Li1-2VO3,VO3,Li2VO3,LiVO3,Li,2.672806259166665,237.5560831414869,822.110683547462,634.9413859236829,2197.3425807134417,0.0031624216562680003,0.085307308000007,0.022451055833339003
mp-752627_Li,mp-761027,mp-1638660,Li1.2-1.6CoO2,CoO2,Li8(CoO2)5,Li6(CoO2)5,Li,1.98448472666667,105.06512289069101,349.67463802940324,208.5001316819331,693.9239784720472,0.008432415430031,0.11322590252976202,0.049295090407609
mp-752640_Li,mp-752640,mp-764746,Li3-5V7O12,V7O12,Li5V7O12,Li3V7O12,Li,1.335272246666671,91.89788701526807,391.8969543614806,122.70869805879691,523.2891267120801,0.009915310527876,0.081754313977265,0.05107279315971901
mp-752548_Li,mp-752548,mp-774411,Li0.5-2VO2,VO2,Li2VO2,LiV2O4,Li,0.641368955000001,415.21655360434363,1422.6242238160614,266.30700708392004,912.4270117865958,0.14238545862899102,0.069133446071431,0.10280860199999901
mp-752668_Li,mp-753112,mp-752668,Li0.33-0.67MnO2,MnO2,Li2Mn3O6,LiMn3O6,Li,2.4796982116666673,97.56901892278903,385.08046461872675,241.9417217369112,954.8833394628263,0.008293370101947,0.05365750450832701,0.068762943181812
mp-752662_Li,mp-773514,mp-849462,Li2-3.5CoO3,CoO3,Li7(CoO3)2,Li2CoO3,Li,1.829415594999995,306.36124127244176,932.7275493449803,560.4620324873612,1706.3463246578347,0.09365066616532601,0.148098819166675,0.12267127650000101
mp-752779_Li,mp-753694,mp-752779,Li1-2VF6,VF6,Li2VF6,LiVF6,Li,3.800637396666668,149.88475877757,353.76911398992837,569.6576194003951,1344.5481244157552,0.027912847883494,0.049906925000000005,0.078044052222223
mp-752908_Li,mp-762387,mp-755081,Li0.4-1.6NiO2,NiO2,Li8(NiO2)5,Li2(NiO2)5,Li,2.588103106666664,315.93784319932917,1296.5633863176429,817.6797134977493,3355.639728118942,0.140411337606402,0.06288675976715401,0.044407338768113
mp-752891_Li,mp-752891,mp-758089,Li0.33-0.67TiO2,TiO2,Li2Ti3O6,LiTi3O6,Li,0.935576416666651,105.73435610690214,421.4029199829986,98.92257000505114,394.2546338505573,0.025769240347554002,0.040533985749999,0.035021939090910004
mp-752897_Li,mp-752897,mp-756856,Li3-5Fe7O12,Fe7O12,Li5Fe7O12,Li3Fe7O12,Li,2.611151901666668,86.79056245389958,391.97670443432014,226.62334219821966,1023.5107171927086,0.020081952248003,0.10733880420454701,0.02492669989583
mp-752914_Li,mp-1272680,mp-755297,Li0-2CoO2,CoO2,Li2CoO2,CoO2,Li,2.278880540416667,511.41035403457124,2017.5446246069957,1165.443103976983,4597.743184439133,0.30615954274921703,0.014164345833335002,0.026959160624998
mp-752901_Li,mp-757195,mp-752901,Li1-1.5VF4,VF4,Li3V2F8,LiVF4,Li,1.864991311666666,97.56877362673443,281.9662807057168,181.96491510383146,525.8646636991261,0.008035779526471,0.07742407083333301,0.06765464615383901
mp-752948_Li,mp-752948,mp-758604,Li0.5-1AgF2,AgF2,LiAgF2,LiAg2F4,Li,5.090517564166669,87.69773445686978,392.0282440438906,446.42685759032014,1995.6266619548426,0.184418083884822,0.118659776428572,0.053544515
mp-752973_Li,mp-1385977,mp-1176637,Li0-1MnF4,MnF4,LiMnF4,MnF4,Li,6.475096756666668,194.3930114427945,640.180134754609,1258.7135579119051,4145.228314231998,0.089537146306498,0.33212030150000105,0.05487610750000001
mp-753041_Li,mp-753601,mp-753041,Li2-3MnF6,MnF6,Li3MnF6,Li2MnF6,Li,4.05977993166667,141.24518753180664,428.067748914123,573.424377786124,1737.8608564352835,0.043200116876519,0.037955824629629,0.029160527000005
mp-753053_Li,mp-754721,mp-753053,Li1-2VF4,VF4,Li2VF4,LiVF4,Li,2.057524306666666,190.32829613137682,552.6547651976872,391.6050955367591,1137.1006125894007,0.025865466060368002,0.074691135833333,0.022543509999999
mp-753084_Li,mp-759136,mp-756475,Li0.2-1MnO2,MnO2,LiMnO2,LiMn5O10,Li,2.737648845416666,228.39451540766734,935.9565943770937,625.2639814052995,2562.320489956566,0.11973819923618201,0.09839613802603701,0.049811869249999
mp-753073_Li,mp-767641,mp-753073,Li1-2V2F7,V2F7,Li2V2F7,LiV2F7,Li,1.819444306666663,107.74299219517799,339.38193208230916,196.03237373274732,617.4865241126895,0.043352165950566006,0.09835778199999301,0.104908929090907
mp-753010_Li,mp-776004,mp-769483,Li4-5.5CoO4,CoO4,Li11(CoO4)2,Li4CoO4,Li,2.258300313333336,249.5384908333088,660.1305675285035,563.532852037589,1490.7730674905324,0.013599668763121001,0.09594529277777501,0.023964020595229
mp-753032_Li,mp-753169,mp-753032,Li0-1Mn2F5,Mn2F5,LiMn2F5,Mn2F5,Li,3.812307416666672,126.53601939740916,501.4062322847281,482.3942052242208,1911.5146981019611,0.069525448445339,0.073743492500001,0.049650798749999
mp-753075_Li,mp-753075,mp-770530,Li12-14Mn2O9,Mn2O9,Li14Mn2O9,Li12Mn2O9,Li,1.339946916666671,152.69555078792897,361.006009983315,204.60393246700454,483.7288899752805,0.049502147988589006,0.06953926391304001,0.0473939592
mp-753141_Li,mp-758665,mp-757971,Li2-3.5CrO4,CrO4,Li7Cr2O8,Li2CrO4,Li,2.104800939999999,286.57084693433075,724.250942650753,603.1745880039753,1524.4040648871905,0.017116494587987002,0.049585200238095005,0.051444501029410006
mp-753131_Li,mp-761891,mp-772030,Li0.75-1TiO2,TiO2,LiTiO2,Li3Ti4O8,Li,29.977710966666688,77.18715914353453,319.3253668787365,2313.894347142982,9572.643552615562,0.024479848700601003,0.046683688333335006,0.01137334312499
mp-753154_Li,mp-753154,mp-762575,Li0.33-0.67FeO2,FeO2,Li2(FeO2)3,Li(FeO2)3,Li,3.456631021666661,96.61206396433586,384.1194871441399,333.9522573663671,1327.7593352891224,0.0017716495016830002,0.12810011105000102,0.076045297409095
mp-753115_Li,mp-753115,mp-764280,Li1-2MnF4,MnF4,Li2MnF4,LiMnF4,Li,3.388181386666661,185.0756451603413,554.6352372389734,627.0698560575921,1879.2047872025378,0.087314933939515,0.034828795833332,0.0426771425
mp-753171_Li,mp-753257,mp-753171,Li1-2CuF4,CuF4,Li2CuF4,LiCuF4,Li,5.381908671666665,174.69169210404684,639.8436212348216,940.1747326028928,3443.579933634288,0.07464498641153901,0.023734650499999004,0.011428337142855
